Using device: cuda

Training model: NN_GRU on cuda
NNGRU(
  (gru): GRU(57, 128, batch_first=True)
  (fc): Linear(in_features=128, out_features=18, bias=True)
  (log_softmax): LogSoftmax(dim=-1)
)
Epoch 1/80 | Time: 2s | Train Loss: 2.2852 | Val Loss: 1.8922 | Val Acc: 46.23%
Epoch 2/80 | Time: 3s | Train Loss: 1.8297 | Val Loss: 1.8484 | Val Acc: 46.23%
Epoch 3/80 | Time: 5s | Train Loss: 1.7938 | Val Loss: 1.7914 | Val Acc: 46.23%
Epoch 4/80 | Time: 7s | Train Loss: 1.6854 | Val Loss: 1.6308 | Val Acc: 50.59%
Epoch 5/80 | Time: 9s | Train Loss: 1.5423 | Val Loss: 1.5452 | Val Acc: 54.12%
Epoch 6/80 | Time: 11s | Train Loss: 1.5203 | Val Loss: 1.5188 | Val Acc: 54.55%
Epoch 7/80 | Time: 12s | Train Loss: 1.4835 | Val Loss: 1.5311 | Val Acc: 54.57%
Epoch 8/80 | Time: 14s | Train Loss: 1.4762 | Val Loss: 1.4948 | Val Acc: 55.29%
Epoch 9/80 | Time: 16s | Train Loss: 1.4473 | Val Loss: 1.4901 | Val Acc: 55.02%
Epoch 10/80 | Time: 17s | Train Loss: 1.4383 | Val Loss: 1.4808 | Val Acc: 56.01%
Epoch 11/80 | Time: 19s | Train Loss: 1.4144 | Val Loss: 1.4513 | Val Acc: 55.84%
Epoch 12/80 | Time: 20s | Train Loss: 1.3948 | Val Loss: 1.4310 | Val Acc: 56.46%
Epoch 13/80 | Time: 21s | Train Loss: 1.3742 | Val Loss: 1.3955 | Val Acc: 57.83%
Epoch 14/80 | Time: 23s | Train Loss: 1.3438 | Val Loss: 1.3642 | Val Acc: 60.35%
Epoch 15/80 | Time: 24s | Train Loss: 1.2878 | Val Loss: 1.3394 | Val Acc: 60.80%
Epoch 16/80 | Time: 26s | Train Loss: 1.2639 | Val Loss: 1.2732 | Val Acc: 62.59%
Epoch 17/80 | Time: 27s | Train Loss: 1.2277 | Val Loss: 1.2475 | Val Acc: 63.46%
Epoch 18/80 | Time: 28s | Train Loss: 1.2055 | Val Loss: 1.2510 | Val Acc: 63.74%
Epoch 19/80 | Time: 30s | Train Loss: 1.1844 | Val Loss: 1.2312 | Val Acc: 64.81%
Epoch 20/80 | Time: 31s | Train Loss: 1.1756 | Val Loss: 1.2002 | Val Acc: 65.26%
Epoch 21/80 | Time: 33s | Train Loss: 1.1539 | Val Loss: 1.1840 | Val Acc: 65.28%
Epoch 22/80 | Time: 34s | Train Loss: 1.1477 | Val Loss: 1.1558 | Val Acc: 66.33%
Epoch 23/80 | Time: 36s | Train Loss: 1.1228 | Val Loss: 1.1458 | Val Acc: 66.82%
Epoch 24/80 | Time: 37s | Train Loss: 1.1105 | Val Loss: 1.1279 | Val Acc: 66.90%
Epoch 25/80 | Time: 38s | Train Loss: 1.0862 | Val Loss: 1.1223 | Val Acc: 66.72%
